trial_id,n_blocks,ch1,ch2,kernel_size,use_bn,dropout_p,fc_units,lr,ch3,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,best_val_acc
2,3,64,64,5,True,0.2145295150948815,384,0.0015013044410897443,128.0,0.9964476021314387,0.99817817453088,0.9968545439088667,0.011592398062644243,0.01009447641446471,0.01736790929639962,0.99817817453088
16,3,48,64,5,True,0.22539863413584116,384,0.0011179953282332421,128.0,0.9992713030013207,0.99817817453088,0.9958343959874182,0.002159759051593328,0.008926530451085594,0.02315722964070835,0.99817817453088
17,3,64,64,5,True,0.20089613795475647,384,0.0015341754867121654,128.0,0.9969485813180307,0.997631626890144,0.996684519255292,0.00936382124016788,0.01138797648691966,0.024385301517428536,0.997631626890144
10,3,48,64,5,True,0.2850464423394278,384,0.00012707354431881767,128.0,0.9992713030013207,0.997631626890144,0.9971945932160163,0.004184859550510144,0.008779922239714218,0.014842339480033526,0.997631626890144
21,3,48,64,5,True,0.3231561106948154,384,0.0002477650931915617,128.0,0.9983148881905543,0.997631626890144,0.9977046671767407,0.006524569169594247,0.012259386264388944,0.01212422428543307,0.997631626890144
23,3,48,64,5,True,0.24293513475011297,384,0.0006699890540673261,128.0,0.9989069545019812,0.997631626890144,0.9978746918303154,0.004384161257199041,0.011067749482977163,0.010979603663121002,0.997631626890144
11,3,48,64,5,True,0.2793525733145061,384,0.00011852720714082477,128.0,0.9984515188778066,0.9974494443432319,0.9973646178695911,0.005841098721396329,0.012908298313557807,0.010617136918446467,0.9974494443432319
14,3,48,64,5,True,0.3645474445049891,256,0.00013441112895821411,160.0,0.9973584733797878,0.9972672617963199,0.9972796055428037,0.009698481632238876,0.010871008596654446,0.015942535294174297,0.9972672617963199
24,3,48,64,5,True,0.16958347044342095,384,0.0016240639470624693,96.0,0.9968119506307783,0.9969028967024959,0.9965144946017173,0.009541324394161239,0.014419326104199742,0.01929790597331327,0.9969028967024959
6,3,32,64,5,True,0.44068487035949444,128,0.0029045876321413104,160.0,0.981873662157854,0.9967207141555839,0.9969395562356542,0.05683835991129494,0.020878517047121084,0.01710116347612947,0.9967207141555839
15,3,64,96,5,True,0.11877641322069568,384,0.00040676557489869626,96.0,0.9984970624402241,0.9965385316086719,0.9962594576213551,0.0053409747793269555,0.016197438436531788,0.019427465492590865,0.9965385316086719
3,2,64,64,5,False,0.5129625293708646,128,0.00021410486020428346,,0.9847884501525709,0.9965385316086719,0.9963444699481425,0.0499529430817347,0.022068537864089553,0.0200062718963043,0.9965385316086719
13,3,48,64,5,True,0.20731086936367737,384,0.00032117633690009935,128.0,0.9998633693127477,0.9965385316086719,0.9970245685624416,0.0008849350815278711,0.014601266828803154,0.014954365907570995,0.9965385316086719
19,3,32,128,5,True,0.09635160425279626,384,0.0010993402438424932,160.0,0.9978139090039623,0.9961741665148479,0.9955793590070561,0.007201143934737026,0.017011238854968535,0.01996931320006653,0.9961741665148479
4,2,64,64,3,True,0.13049132065624597,512,0.0023456704107437183,,0.9954001001958374,0.9958098014210238,0.9941341494516704,0.014464588658232275,0.02309449072916238,0.031163784903543747,0.9958098014210238
20,2,64,64,5,True,0.23807300964311207,384,0.005238299980397396,,0.9838320353418044,0.9954454363271998,0.9941341494516704,0.05210420245583559,0.02386469925276351,0.030353981407060977,0.9954454363271998
1,2,48,96,3,False,0.3763351563933222,512,0.0007077335232251116,,0.9946714031971581,0.9948988886864638,0.9947292357391821,0.01832013823263746,0.030567979742383698,0.029063041465692746,0.9948988886864638
9,2,32,128,3,True,0.0235787263101634,512,0.000578137914304951,,1.0,0.9943523410457278,0.9949842727195444,7.129524011951436e-05,0.033868690077069066,0.03287546075624541,0.9943523410457278
5,3,64,64,3,True,0.04765145156120578,384,0.009093304142431579,128.0,0.9930318349501298,0.9934414283111678,0.9922638782623481,0.025544515060959765,0.039608150932455705,0.04412206100292955,0.9934414283111678
7,2,64,128,3,True,0.5611273981166089,128,0.0011125513984322926,,0.8226078243840234,0.9905265075605757,0.9897135084587265,0.5145834646252698,0.055026592361892376,0.05750904192783586,0.9905265075605757
22,3,48,64,5,True,0.3180619569828344,384,0.017084488010764967,128.0,0.9459397914104841,0.9852432137001276,0.9815523250871376,0.22860406027554514,0.05103749506105127,0.07612386496357035,0.9852432137001276
12,3,48,64,5,True,0.27344956354791206,384,0.028233585948794288,128.0,0.8645534453704968,0.9560940061942066,0.9532432202669388,0.45038835840776215,0.15151654066907805,0.1649619192239302,0.9560940061942066
18,3,48,96,5,False,0.3717338994776355,256,0.00378229904738003,128.0,0.8334016486769595,0.9134632902167973,0.9115871801411205,0.5726750552502655,0.2975210441752922,0.2897504083002391,0.9134632902167973
8,3,32,96,3,False,0.48849601276094246,256,0.0072108785603933485,96.0,0.6946304139909824,0.8302058662780105,0.8319306299413415,1.0205460266145163,0.5442773980456729,0.5283924898375636,0.8302058662780105
0,3,64,128,5,False,0.17354690797974662,384,0.007483873190655341,128.0,0.05884228264334836,0.053926033885953725,0.056618209640397855,3.489898595699044,3.4889767419460207,3.4882752104945807,0.053926033885953725
